DATE,MEHOINUSA672N
2001-12-31,61889
2002-12-31,61190
2003-12-31,61113
2004-12-31,60901
2005-12-31,61553
2006-12-31,62033
2007-12-31,62865
2008-12-31,60624
2009-12-31,60200
2010-12-31,58627
2011-12-31,57732
2012-12-31,57623
2013-12-31,59640
2014-12-31,58725
2015-12-31,61748
2016-12-31,63683
2017-12-31,64557
2018-12-31,65127
2019-12-31,69560
2020-12-31,67521
