DATE,CSUSHPISA
2001-12-31,113.17808333333335
2002-12-31,122.27783333333333
2003-12-31,133.73066666666665
2004-12-31,150.43958333333333
2005-12-31,171.73675
2006-12-31,183.44741666666667
2007-12-31,179.91933333333336
2008-12-31,164.05816666666666
2009-12-31,148.54283333333333
2010-12-31,144.6721666666667
2011-12-31,139.26075
2012-12-31,140.99516666666668
2013-12-31,154.52466666666666
2014-12-31,164.70491666666666
2015-12-31,172.19533333333337
2016-12-31,180.94158333333328
2017-12-31,191.41600000000003
2018-12-31,202.49300000000002
2019-12-31,209.4895
2020-12-31,222.16599999999997
2021-12-31,260.01775
