DATE,UNRATE
2002-12-31,5.81
2003-12-31,5.99
2004-12-31,5.54
2005-12-31,5.084999999999999
2006-12-31,4.6049999999999995
2007-12-31,4.6175
2008-12-31,5.8
2009-12-31,9.2825
2010-12-31,9.6075
2011-12-31,8.932500000000001
2012-12-31,8.075
2013-12-31,7.355
2014-12-31,6.16
2015-12-31,5.272500000000001
2016-12-31,4.875
2017-12-31,4.36
2018-12-31,3.89
2019-12-31,3.6750000000000003
2020-12-31,8.092500000000001
2021-12-31,5.357500000000001
2022-12-31,4.0
