DATE,EXSFHSUSM495S
2021-01-01,5900000.0
2021-02-01,5470000.0
2021-03-01,5330000.0
2021-04-01,5240000.0
2021-05-01,5200000.0
2021-06-01,5240000.0
2021-07-01,5320000.0
2021-08-01,5300000.0
2021-09-01,5480000.0
2021-10-01,5500000.0
2021-11-01,5630000.0
2021-12-01,5410000.0
2022-01-01,5760000.0
