Date,CNP16OV_TTLHH
2000-01-01,2.03024
2001-01-01,1.98775
2002-01-01,1.99063
2003-01-01,1.98753
2004-01-01,1.99426
2005-01-01,1.99468
2006-01-01,2.00041
2007-01-01,1.99866
2008-01-01,2.0019
2009-01-01,2.01228
2010-01-01,2.02343
2011-01-01,1.99803
2012-01-01,2.00922
2013-01-01,2.00622
2014-01-01,2.01208
2015-01-01,2.01306
2016-01-01,2.0151
2017-01-01,2.02084
2018-01-01,2.02052
2019-01-01,2.01569
2020-01-01,2.02668
